metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,928.8679999999999,6.3258495855965355,925.6870000000001,7.166558934327105,0.29320949658668494,0.7706002542698831,0.04146608466894776,50,0.9196805018812316,False,
question_count,9.468,0.7406695261307673,8.148000000000001,0.29581075031174914,1.697451409882382,0.09595496867499842,0.24005588053249963,50,0.24521825328055152,False,
demir_modal_rate,0.012439529586886473,0.00019093436481902107,0.012517467251083743,0.0002013894078357888,-0.2819025168146399,0.7792054811174618,-0.03986703625463732,50,0.9196805018812316,False,
demir_verb_rate,0.013150767586723152,0.0002502582440826416,0.013231723909435026,0.00022560979221931265,-0.20334397492622616,0.8397082843263419,-0.028757180716752363,50,0.9196805018812316,False,
demir_adverb_rate,0.010205237534555095,0.0001773581468952547,0.010025792836739378,0.00013651798108253513,0.8077642503656346,0.4231304298998212,0.11423511580672167,50,0.6487999925130591,False,
demir_adjective_rate,0.0005015924779892862,4.491621821228753e-05,0.0006246648467280509,5.142080331347086e-05,-1.4758089846628601,0.14639279528269525,-0.2087109081582284,50,0.2919095532567783,False,
demir_quantifier_rate,0.005347462973179042,0.00013262829858792948,0.005327881097694574,0.00013565721019936675,0.10124995680311377,0.9197652186915928,0.014318906210065352,50,0.9615727286321196,False,
demir_noun_rate,0.0009130849718993264,5.4616837945692245e-05,0.0010554617385896278,6.229090254780638e-05,-1.44681654773305,0.1543156136978243,-0.20461075840699,50,0.2919095532567783,False,
demir_total_rate,0.04255767513123237,0.00042242982258117856,0.0427829916802704,0.0004048991032709833,-0.3333644149544974,0.7402815508132314,-0.04714484768412225,50,0.9196805018812316,False,
fung_interpersonal_rate,0.04048203782618295,0.00045882658537939054,0.036451196702313816,0.00048195321892220266,5.917470114391368,3.135675530293007e-07,0.8368566490709743,50,7.212053719673917e-06,True,***
fung_referential_rate,0.08158426200511919,0.00034554312833794115,0.0809803116533637,0.00034918054667936604,1.1680686950783843,0.2484311290451319,0.16518985903632946,50,0.40813685485985957,False,
fung_structural_rate,0.07744544756051824,0.0003833179284961631,0.07631616378440312,0.0004055388951915074,2.017374112424479,0.049151422063761815,0.28529978301710823,50,0.14131033843331522,False,
fung_cognitive_rate,0.01559273550059424,0.000327001901792232,0.01382010188914171,0.0003418415721998013,3.676470527692008,0.0005865630482654519,0.5199314481927008,50,0.0026981900220210786,True,**
fung_total_rate,0.1193826947905415,0.0006427899020980334,0.1146670607900701,0.0006303017497918953,5.125099378991168,5.030136049756573e-06,0.7247985050279235,50,5.7846564572200596e-05,True,***
nonfluency_rate,0.0013325301867153569,6.80191874856152e-05,0.0014481761519264144,5.8092158390230746e-05,-1.4129882446644568,0.16398010597800183,-0.1998267139078228,50,0.2919095532567783,False,
liwc_filler_rate,0.002650244842703354,0.00010978217848094361,0.0022632360198018143,0.00013293194905266163,2.1235404052082028,0.038782535220865375,0.3003139641292698,50,0.1274283300114148,False,
disfluency_rate,0.003982775029418711,0.00012896859776703019,0.0037114121717282287,0.00013974478349626157,1.409535693979868,0.16499235618861383,0.19933844950753016,50,0.2919095532567783,False,
like_rate,0.01019137057235505,0.0002807778924299185,0.008491686547764422,0.00024825731256982207,4.4253947774658275,5.368740533728379e-05,0.6258453313147238,50,0.0004116034409191757,True,***
tom_rate,0.002291245939174611,9.217501176093541e-05,0.0019621107254725366,9.959863574393928e-05,2.2667267568894447,0.027856214760477553,0.3205635721787034,50,0.10678215658183061,False,
politeness_rate,0.004956607775832414,0.00013770416356699724,0.005796096774031415,0.00015276960397452062,-4.140427008262683,0.00013615887043740308,-0.5855448029100945,50,0.0007829135050150677,True,***
sentiment,0.9640518999999999,0.0024025694375490792,0.96560226,0.0027169148311724655,-0.4120948131831599,0.682067244309478,-0.05827900737872316,50,0.9196805018812316,False,
quality,2.9610000000000007,0.01090684114092937,2.964,0.009480377156021177,-0.22334107359461403,0.8241985660385189,-0.03158519753124707,50,0.9196805018812316,False,
connectedness,3.088,0.010838329564794663,3.0879999999999996,0.009851965514038101,-2.512147933894039e-15,0.999999999999998,-3.552713678800499e-16,50,0.999999999999998,False,
