Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,3.7,3.9,3.8,4.0
s002,3.9,4.0,3.9,3.6
s003,3.8,3.9,3.8,4.0
s004,4.0,3.9,3.5,3.9
s005,3.8,3.9,3.8,3.9
s006,3.9,3.9,3.9,3.9
s007,3.9,4.0,3.9,3.9
s008,3.7,3.8,3.9,3.9
s009,4.0,4.0,4.0,3.9
s010,3.8,3.8,3.8,3.9
s011,3.7,3.9,3.8,4.0
s012,3.8,3.8,3.9,4.0
s013,4.0,4.0,3.9,3.9
s014,3.8,3.8,4.0,3.9
s015,3.7,4.0,3.9,3.8
s016,3.9,3.9,3.8,3.9
s017,4.0,3.8,3.9,3.9
s018,4.0,4.0,3.8,3.9
s019,3.8,4.0,4.0,3.9
s020,3.8,4.0,3.9,4.0
s021,4.0,3.9,3.8,3.7
s022,4.0,3.9,3.9,3.9
s023,3.8,3.8,4.0,4.0
s024,3.9,3.7,3.7,3.8
s025,4.0,3.8,3.9,4.0
s026,4.0,4.0,3.9,4.0
s027,3.9,3.8,3.8,3.9
s028,4.0,3.8,3.9,3.9
s029,3.8,3.9,3.8,3.7
s030,3.9,3.8,3.9,4.0
s031,3.8,3.9,4.0,3.8
s032,3.8,4.0,3.9,3.8
s033,3.8,3.9,3.6,3.8
s034,3.9,3.9,3.8,3.9
s035,3.9,3.8,3.9,3.8
s036,4.0,3.9,3.8,4.0
s037,3.9,3.8,3.8,4.0
s038,3.9,3.7,3.9,4.0
s039,4.0,4.0,3.9,3.9
s040,3.9,3.8,3.9,4.0
s041,3.8,3.9,4.0,3.9
s042,3.9,3.9,3.8,3.9
s043,4.0,4.0,3.9,3.9
s044,4.0,3.8,3.9,3.9
s045,3.9,3.9,3.9,3.9
s046,3.8,3.9,4.0,4.0
s047,3.9,3.9,3.8,3.9
s048,4.0,3.8,3.9,3.9
s049,3.8,3.8,3.8,3.9
s050,4.0,3.9,3.9,3.9
