run,agent,topic,social,order
1,bot_1,nature,0,1
1,hum_2,conflict,1,2
1,hum_1,photography,0,3
1,bot_2,space,0,4
1,bot_1,childhood_memories,1,5
1,bot_2,friendship,1,6
1,hum_1,hobbies,1,7
1,hum_2,cars,0,8
2,hum_1,role_models,1,1
2,bot_1,mentorship,1,2
2,hum_2,sports,0,3
2,bot_2,networks,1,4
2,bot_2,art,0,5
2,hum_2,empathy,1,6
2,hum_1,books,0,7
2,bot_1,exercise,0,8
3,bot_2,architecture,0,1
3,hum_1,loneliness,1,2
3,bot_1,love,1,3
3,hum_2,cultural_celebrations,1,4
3,hum_1,cooking,0,5
3,hum_2,movies,0,6
3,bot_1,music,0,7
3,bot_2,trust,1,8
4,hum_1,technology,0,1
4,bot_2,communication,1,2
4,bot_1,work_life,1,3
4,hum_2,podcasts,0,4
4,hum_1,teamwork,1,5
4,bot_1,travel,0,6
4,hum_2,forgiveness,1,7
4,bot_2,seasons,0,8
5,hum_2,boundaries,1,1
5,bot_2,weather,0,2
5,hum_1,gardening,0,3
5,bot_1,family,1,4
5,hum_1,social_media,1,5
5,bot_2,goals,1,6
5,bot_1,food,0,7
5,hum_2,fashion,0,8
