run,agent,topic,social,order
1,bot_1,space,0,1
1,hum_1,childhood_memories,1,2
1,bot_2,hobbies,1,3
1,hum_2,nature,0,4
1,hum_1,photography,0,5
1,hum_2,conflict,1,6
1,bot_2,cars,0,7
1,bot_1,friendship,1,8
2,hum_2,art,0,1
2,bot_1,networks,1,2
2,bot_2,exercise,0,3
2,hum_1,empathy,1,4
2,hum_1,books,0,5
2,hum_2,role_models,1,6
2,bot_2,mentorship,1,7
2,bot_1,sports,0,8
3,hum_1,trust,1,1
3,hum_2,love,1,2
3,bot_2,cultural_celebrations,1,3
3,bot_1,cooking,0,4
3,bot_2,architecture,0,5
3,bot_1,loneliness,1,6
3,hum_1,movies,0,7
3,hum_2,music,0,8
4,hum_2,forgiveness,1,1
4,bot_2,travel,0,2
4,bot_1,communication,1,3
4,hum_1,work_life,1,4
4,hum_1,podcasts,0,5
4,hum_2,technology,0,6
4,bot_2,teamwork,1,7
4,bot_1,seasons,0,8
5,hum_1,food,0,1
5,bot_2,fashion,0,2
5,hum_2,weather,0,3
5,bot_1,family,1,4
5,bot_2,boundaries,1,5
5,bot_1,gardening,0,6
5,hum_1,goals,1,7
5,hum_2,social_media,1,8
