run,agent,topic,social,order
1,bot_1,conflict,1,1
1,hum_1,cars,0,2
1,bot_2,space,0,3
1,hum_2,friendship,1,4
1,hum_2,photography,0,5
1,bot_2,hobbies,1,6
1,bot_1,nature,0,7
1,hum_1,childhood_memories,1,8
2,bot_1,books,0,1
2,hum_2,networks,1,2
2,hum_1,role_models,1,3
2,bot_2,mentorship,1,4
2,hum_2,exercise,0,5
2,bot_1,empathy,1,6
2,hum_1,sports,0,7
2,bot_2,art,0,8
3,bot_2,architecture,0,1
3,hum_2,trust,1,2
3,bot_1,loneliness,1,3
3,hum_1,cooking,0,4
3,hum_2,movies,0,5
3,bot_2,love,1,6
3,hum_1,cultural_celebrations,1,7
3,bot_1,music,0,8
4,hum_2,technology,0,1
4,hum_1,travel,0,2
4,bot_2,podcasts,0,3
4,bot_1,teamwork,1,4
4,hum_2,communication,1,5
4,hum_1,work_life,1,6
4,bot_1,seasons,0,7
4,bot_2,forgiveness,1,8
5,hum_1,family,1,1
5,hum_2,food,0,2
5,bot_1,gardening,0,3
5,bot_2,boundaries,1,4
5,bot_1,goals,1,5
5,bot_2,fashion,0,6
5,hum_1,weather,0,7
5,hum_2,social_media,1,8
