run,agent,topic,social,order
1,bot_2,space,0,1
1,hum_2,nature,0,2
1,hum_1,cars,0,3
1,bot_1,photography,0,4
1,bot_2,hobbies,1,5
1,hum_1,childhood_memories,1,6
1,bot_1,friendship,1,7
1,hum_2,conflict,1,8
2,hum_1,networks,1,1
2,hum_2,role_models,1,2
2,bot_1,empathy,1,3
2,bot_2,mentorship,1,4
2,hum_1,sports,0,5
2,bot_1,art,0,6
2,bot_2,books,0,7
2,hum_2,exercise,0,8
3,bot_2,music,0,1
3,hum_2,love,1,2
3,hum_1,cooking,0,3
3,bot_1,movies,0,4
3,hum_1,cultural_celebrations,1,5
3,hum_2,architecture,0,6
3,bot_2,trust,1,7
3,bot_1,loneliness,1,8
4,hum_2,work_life,1,1
4,hum_1,forgiveness,1,2
4,bot_2,technology,0,3
4,bot_1,podcasts,0,4
4,bot_1,communication,1,5
4,hum_1,travel,0,6
4,bot_2,teamwork,1,7
4,hum_2,seasons,0,8
5,hum_1,family,1,1
5,bot_2,goals,1,2
5,hum_2,boundaries,1,3
5,bot_1,gardening,0,4
5,hum_2,weather,0,5
5,bot_2,fashion,0,6
5,bot_1,social_media,1,7
5,hum_1,food,0,8
