Subject,bot,hum
s001,4.0,4.0
s002,4.0,3.9
s003,4.0,3.95
s004,4.0,4.0
s005,4.0,4.0
s006,3.95,3.95
s007,4.0,3.95
s008,4.0,4.0
s009,4.0,3.85
s010,4.0,4.0
s011,3.95,4.0
s012,4.0,4.0
s013,4.0,3.9
s014,4.0,4.0
s015,3.95,3.8
s016,4.0,3.95
s017,4.0,3.85
s018,4.0,4.0
s019,4.0,3.9
s020,4.0,3.95
s021,4.0,4.0
s022,3.95,4.0
s023,3.95,4.0
s024,3.95,3.9
s025,4.0,3.9
s026,3.95,3.9
s027,3.95,3.95
s028,3.95,4.0
s029,4.0,3.9
s030,4.0,4.0
s031,4.0,3.9
s032,3.95,4.0
s033,4.0,4.0
s034,3.95,4.0
s035,3.9,4.0
s036,3.9,4.0
s037,3.95,3.95
s038,4.0,4.0
s039,4.0,3.9
s040,4.0,3.95
s041,4.0,4.0
s042,4.0,4.0
s043,3.95,3.85
s044,3.95,4.0
s045,4.0,3.9
s046,3.95,3.95
s047,4.0,4.0
s048,4.0,4.0
s049,3.95,4.0
s050,4.0,4.0
