run,agent,topic,social,order
1,hum_1,space,0,1
1,bot_2,conflict,1,2
1,hum_2,childhood_memories,1,3
1,bot_1,hobbies,1,4
1,hum_1,friendship,1,5
1,hum_2,photography,0,6
1,bot_2,cars,0,7
1,bot_1,nature,0,8
2,bot_2,exercise,0,1
2,hum_1,role_models,1,2
2,hum_2,empathy,1,3
2,bot_1,mentorship,1,4
2,bot_2,networks,1,5
2,hum_1,sports,0,6
2,bot_1,art,0,7
2,hum_2,books,0,8
3,bot_1,music,0,1
3,bot_2,loneliness,1,2
3,hum_2,cooking,0,3
3,hum_1,architecture,0,4
3,hum_2,trust,1,5
3,bot_2,movies,0,6
3,bot_1,love,1,7
3,hum_1,cultural_celebrations,1,8
4,bot_1,work_life,1,1
4,hum_2,communication,1,2
4,bot_2,podcasts,0,3
4,hum_1,travel,0,4
4,hum_1,teamwork,1,5
4,bot_1,seasons,0,6
4,bot_2,forgiveness,1,7
4,hum_2,technology,0,8
5,hum_2,boundaries,1,1
5,hum_1,social_media,1,2
5,bot_2,weather,0,3
5,bot_1,goals,1,4
5,bot_1,food,0,5
5,hum_1,fashion,0,6
5,bot_2,family,1,7
5,hum_2,gardening,0,8
