run,agent,topic,social,order
1,bot_2,hobbies,1,1
1,bot_1,cars,0,2
1,hum_1,space,0,3
1,hum_2,childhood_memories,1,4
1,hum_2,photography,0,5
1,hum_1,friendship,1,6
1,bot_2,nature,0,7
1,bot_1,conflict,1,8
2,hum_1,books,0,1
2,bot_1,empathy,1,2
2,bot_2,exercise,0,3
2,hum_2,role_models,1,4
2,hum_2,art,0,5
2,bot_2,mentorship,1,6
2,hum_1,networks,1,7
2,bot_1,sports,0,8
3,hum_1,music,0,1
3,bot_1,trust,1,2
3,bot_2,cultural_celebrations,1,3
3,hum_2,love,1,4
3,bot_1,architecture,0,5
3,bot_2,cooking,0,6
3,hum_1,loneliness,1,7
3,hum_2,movies,0,8
4,bot_1,podcasts,0,1
4,hum_1,seasons,0,2
4,bot_2,forgiveness,1,3
4,hum_2,communication,1,4
4,hum_2,technology,0,5
4,bot_1,work_life,1,6
4,bot_2,travel,0,7
4,hum_1,teamwork,1,8
5,bot_2,goals,1,1
5,hum_1,family,1,2
5,bot_1,weather,0,3
5,hum_2,boundaries,1,4
5,bot_2,food,0,5
5,bot_1,social_media,1,6
5,hum_1,fashion,0,7
5,hum_2,gardening,0,8
