run,agent,topic,social,order
1,hum_2,photography,0,1
1,bot_2,space,0,2
1,hum_1,hobbies,1,3
1,bot_1,conflict,1,4
1,bot_2,friendship,1,5
1,bot_1,cars,0,6
1,hum_1,nature,0,7
1,hum_2,childhood_memories,1,8
2,hum_1,networks,1,1
2,hum_2,books,0,2
2,bot_1,mentorship,1,3
2,bot_2,sports,0,4
2,bot_1,art,0,5
2,hum_1,exercise,0,6
2,hum_2,role_models,1,7
2,bot_2,empathy,1,8
3,hum_2,loneliness,1,1
3,hum_1,movies,0,2
3,bot_1,architecture,0,3
3,bot_2,cooking,0,4
3,hum_2,music,0,5
3,bot_1,cultural_celebrations,1,6
3,bot_2,trust,1,7
3,hum_1,love,1,8
4,bot_2,seasons,0,1
4,bot_1,teamwork,1,2
4,hum_1,communication,1,3
4,hum_2,podcasts,0,4
4,hum_1,travel,0,5
4,hum_2,forgiveness,1,6
4,bot_2,work_life,1,7
4,bot_1,technology,0,8
5,hum_1,goals,1,1
5,hum_2,fashion,0,2
5,bot_2,boundaries,1,3
5,bot_1,weather,0,4
5,bot_1,social_media,1,5
5,bot_2,food,0,6
5,hum_2,family,1,7
5,hum_1,gardening,0,8
