run,agent,topic,social,order
1,bot_1,childhood_memories,1,1
1,bot_2,nature,0,2
1,hum_1,cars,0,3
1,hum_2,hobbies,1,4
1,hum_2,space,0,5
1,bot_2,friendship,1,6
1,hum_1,conflict,1,7
1,bot_1,photography,0,8
2,hum_1,exercise,0,1
2,hum_2,mentorship,1,2
2,bot_1,books,0,3
2,bot_2,networks,1,4
2,hum_2,sports,0,5
2,bot_2,art,0,6
2,hum_1,empathy,1,7
2,bot_1,role_models,1,8
3,hum_2,trust,1,1
3,hum_1,loneliness,1,2
3,bot_1,love,1,3
3,bot_2,movies,0,4
3,hum_1,cooking,0,5
3,bot_1,architecture,0,6
3,bot_2,cultural_celebrations,1,7
3,hum_2,music,0,8
4,hum_2,podcasts,0,1
4,hum_1,teamwork,1,2
4,bot_2,forgiveness,1,3
4,bot_1,travel,0,4
4,hum_1,technology,0,5
4,bot_1,work_life,1,6
4,bot_2,seasons,0,7
4,hum_2,communication,1,8
5,hum_2,family,1,1
5,bot_2,fashion,0,2
5,hum_1,social_media,1,3
5,bot_1,food,0,4
5,bot_2,goals,1,5
5,bot_1,boundaries,1,6
5,hum_2,weather,0,7
5,hum_1,gardening,0,8
