run,agent,topic,social,order
1,hum_1,space,0,1
1,bot_1,photography,0,2
1,hum_2,conflict,1,3
1,bot_2,hobbies,1,4
1,bot_2,cars,0,5
1,hum_2,nature,0,6
1,bot_1,friendship,1,7
1,hum_1,childhood_memories,1,8
2,bot_2,sports,0,1
2,bot_1,art,0,2
2,hum_2,books,0,3
2,hum_1,exercise,0,4
2,hum_1,role_models,1,5
2,bot_1,networks,1,6
2,bot_2,empathy,1,7
2,hum_2,mentorship,1,8
3,bot_2,cultural_celebrations,1,1
3,hum_1,love,1,2
3,hum_2,architecture,0,3
3,bot_1,trust,1,4
3,hum_1,cooking,0,5
3,bot_2,movies,0,6
3,hum_2,loneliness,1,7
3,bot_1,music,0,8
4,bot_2,seasons,0,1
4,hum_2,travel,0,2
4,bot_1,work_life,1,3
4,hum_1,podcasts,0,4
4,bot_1,technology,0,5
4,hum_1,teamwork,1,6
4,hum_2,forgiveness,1,7
4,bot_2,communication,1,8
5,hum_2,weather,0,1
5,hum_1,fashion,0,2
5,bot_2,gardening,0,3
5,bot_1,food,0,4
5,bot_2,boundaries,1,5
5,bot_1,family,1,6
5,hum_2,goals,1,7
5,hum_1,social_media,1,8
