run,agent,topic,social,order
1,hum_2,nature,0,1
1,bot_2,photography,0,2
1,hum_1,space,0,3
1,bot_1,cars,0,4
1,hum_2,hobbies,1,5
1,hum_1,childhood_memories,1,6
1,bot_1,friendship,1,7
1,bot_2,conflict,1,8
2,bot_1,role_models,1,1
2,hum_2,networks,1,2
2,hum_1,empathy,1,3
2,bot_2,mentorship,1,4
2,hum_2,exercise,0,5
2,bot_1,books,0,6
2,bot_2,art,0,7
2,hum_1,sports,0,8
3,bot_2,cultural_celebrations,1,1
3,hum_2,cooking,0,2
3,bot_1,architecture,0,3
3,hum_1,love,1,4
3,hum_1,music,0,5
3,hum_2,trust,1,6
3,bot_2,movies,0,7
3,bot_1,loneliness,1,8
4,bot_2,seasons,0,1
4,bot_1,technology,0,2
4,hum_1,forgiveness,1,3
4,hum_2,teamwork,1,4
4,bot_1,work_life,1,5
4,hum_1,travel,0,6
4,hum_2,podcasts,0,7
4,bot_2,communication,1,8
5,bot_1,gardening,0,1
5,hum_1,weather,0,2
5,bot_2,fashion,0,3
5,hum_2,goals,1,4
5,hum_1,family,1,5
5,bot_2,boundaries,1,6
5,hum_2,food,0,7
5,bot_1,social_media,1,8
