metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,955.1629999999999,5.97417363596448,924.284,6.139787512111275,3.205271512511124,0.002375874593648721,0.4532938444081355,50,0.009289441911490245,True,**
question_count,9.132,0.22254446930069174,8.366,0.16941941676062458,2.875472552451267,0.005954875910312824,0.40665322819081634,50,0.013696214593719497,True,*
demir_modal_rate,0.01288238769124938,0.00020649537652356895,0.012446597705599248,0.00021815233512309856,1.3861257501530706,0.17198423938031565,0.19602778350210529,50,0.24722734410920374,False,
demir_verb_rate,0.013377800865264324,0.00022348797837223644,0.012959512065594633,0.00023611129757961888,1.07744918953243,0.2865556138942187,0.1523743256604662,50,0.3847169973170766,False,
demir_adverb_rate,0.010420316467962886,0.00016915590491423883,0.009951851423142147,0.00017734175121519988,1.9174120561710515,0.06102490018456919,0.2711630134494784,50,0.10796713109577626,False,
demir_adjective_rate,0.0004988948381350467,3.704850349628265e-05,0.0007263131667822397,5.31585513307953e-05,-3.1442758992943984,0.002827221451323118,-0.4446677620624998,50,0.009289441911490245,True,**
demir_quantifier_rate,0.005311613013990634,0.00015797375103486163,0.005274217069964774,0.00013679630544776285,0.17253106018820422,0.8637307117241009,0.024399576524876718,50,0.9347097748069455,False,
demir_noun_rate,0.0009296552574184239,5.8672689128841756e-05,0.0011442750418066236,5.5446003909104523e-05,-2.436982753941818,0.018488158012461568,-0.3446414061893855,50,0.03865705766241964,True,*
demir_total_rate,0.043420668134020686,0.0003249312994528732,0.04250276647288967,0.0003816758148300602,1.5963256295711485,0.11684615017737025,0.2257545355303288,50,0.1791640969386344,False,
fung_interpersonal_rate,0.04152079182462494,0.0005343799850975285,0.03828444539369217,0.0005174977924186122,4.028838122489971,0.0001947473311985183,0.5697637513431074,50,0.0022395943087829603,True,**
fung_referential_rate,0.08186944690938577,0.00040978808163805327,0.08203786328522035,0.0003435909935238288,-0.2758811289213729,0.7837995715392558,-0.03901548341234059,50,0.9013695072701442,False,
fung_structural_rate,0.07750696605279432,0.00043979245496444377,0.07741814286314565,0.00042689866845010624,0.13384899826093946,0.8940702193805565,0.018929106865067342,50,0.9347097748069455,False,
fung_cognitive_rate,0.016609855373059815,0.0003510017230281373,0.01509249620199916,0.0002641059948531189,3.1726570027303316,0.002607998658767652,0.44868145620192085,50,0.009289441911490245,True,**
fung_total_rate,0.12075052966864788,0.0006832894639663363,0.11774091059331626,0.0005973773018200441,3.008956535439589,0.0041321331065342325,0.4255307141009828,50,0.010559895716698594,True,*
nonfluency_rate,0.0013838705030029498,5.7861337433149836e-05,0.0013840847563319693,5.5207528723673054e-05,-0.0023923229498112658,0.9981009175914938,-0.0003383255561199501,50,0.9981009175914938,False,
liwc_filler_rate,0.0030830361213834917,0.00011712629994076162,0.0024093872884717203,9.414673173402564e-05,4.069243358010442,0.0001711552105485148,0.5754779145495003,50,0.0022395943087829603,True,**
disfluency_rate,0.0044669066243864415,0.00012658014767008568,0.0037934720448036903,0.00010517229160572033,3.857998344449899,0.0003341976016685417,0.5456033582333994,50,0.002562181612792153,True,**
like_rate,0.010713909473521738,0.0002866441553183986,0.009810033682778488,0.00022567039239384707,2.2042741928868033,0.03223236305879779,0.3117314458769525,50,0.06177869586269577,False,
tom_rate,0.0026575722428412237,0.00010945860555269362,0.002123016196129299,8.537476624120567e-05,3.6620724840329135,0.0006130049937322712,0.5178952573312676,50,0.003524778713960559,True,**
politeness_rate,0.004688434587646412,0.0001248909658518214,0.0052646730659212685,0.00012848214753280907,-3.0527054067035646,0.0036585926217950985,-0.4317177388089856,50,0.010518453787660908,True,*
sentiment,0.9656414200000001,0.0030780083742430286,0.9680215799999999,0.0017064061686240949,-0.6426670175828972,0.5234361013741639,-0.09088684123556015,50,0.633633175347672,False,
quality,2.907,0.013997813240295927,2.94,0.009793792286287214,-1.789622567648769,0.07969549518955588,-0.25309085066978515,50,0.13092831352569895,False,
connectedness,2.995,0.00950295335403576,2.9819999999999998,0.00792309978506402,1.045148842709227,0.3010828674655382,0.14780636680579337,50,0.3847169973170766,False,
