Subject,Condition,topic,Social_Type,ToM_Count
s001,bot,art,nonsocial,0
s001,bot,boundaries,social,0
s001,bot,cooking,nonsocial,2
s001,bot,empathy,social,0
s001,bot,forgiveness,social,0
s001,bot,friendship,social,2
s001,bot,gardening,nonsocial,0
s001,bot,hobbies,social,0
s001,bot,loneliness,social,1
s001,bot,love,social,0
s001,bot,movies,nonsocial,0
s001,bot,photography,nonsocial,0
s001,bot,podcasts,nonsocial,0
s001,bot,role_models,social,0
s001,bot,social_media,social,0
s001,bot,space,nonsocial,1
s001,bot,sports,nonsocial,0
s001,bot,teamwork,social,0
s001,bot,travel,nonsocial,0
s001,bot,weather,nonsocial,0
s001,hum,architecture,nonsocial,0
s001,hum,books,nonsocial,1
s001,hum,cars,nonsocial,0
s001,hum,childhood_memories,social,1
s001,hum,communication,social,0
s001,hum,conflict,social,0
s001,hum,cultural_celebrations,social,0
s001,hum,exercise,nonsocial,0
s001,hum,family,social,0
s001,hum,fashion,nonsocial,0
s001,hum,food,nonsocial,1
s001,hum,goals,social,0
s001,hum,mentorship,social,1
s001,hum,music,nonsocial,1
s001,hum,nature,nonsocial,0
s001,hum,networks,social,2
s001,hum,seasons,nonsocial,0
s001,hum,technology,nonsocial,1
s001,hum,trust,social,1
s001,hum,work_life,social,0
s002,bot,architecture,nonsocial,0
s002,bot,art,nonsocial,0
s002,bot,books,nonsocial,0
s002,bot,conflict,social,0
s002,bot,cooking,nonsocial,1
s002,bot,cultural_celebrations,social,0
s002,bot,empathy,social,0
s002,bot,family,social,0
s002,bot,fashion,nonsocial,1
s002,bot,forgiveness,social,0
s002,bot,friendship,social,1
s002,bot,goals,social,0
s002,bot,love,social,2
s002,bot,nature,nonsocial,0
s002,bot,networks,social,0
s002,bot,seasons,nonsocial,0
s002,bot,space,nonsocial,0
s002,bot,teamwork,social,0
s002,bot,travel,nonsocial,1
s002,bot,weather,nonsocial,0
s002,hum,boundaries,social,0
s002,hum,cars,nonsocial,0
s002,hum,childhood_memories,social,1
s002,hum,communication,social,0
s002,hum,exercise,nonsocial,0
s002,hum,food,nonsocial,0
s002,hum,gardening,nonsocial,0
s002,hum,hobbies,social,0
s002,hum,loneliness,social,2
s002,hum,mentorship,social,1
s002,hum,movies,nonsocial,1
s002,hum,music,nonsocial,0
s002,hum,photography,nonsocial,1
s002,hum,podcasts,nonsocial,1
s002,hum,role_models,social,0
s002,hum,social_media,social,2
s002,hum,sports,nonsocial,1
s002,hum,technology,nonsocial,0
s002,hum,trust,social,1
s002,hum,work_life,social,0
s003,bot,architecture,nonsocial,0
s003,bot,art,nonsocial,0
s003,bot,communication,social,0
s003,bot,exercise,nonsocial,0
s003,bot,family,social,0
s003,bot,fashion,nonsocial,1
s003,bot,friendship,social,0
s003,bot,hobbies,social,0
s003,bot,love,social,1
s003,bot,mentorship,social,0
s003,bot,movies,nonsocial,0
s003,bot,nature,nonsocial,1
s003,bot,networks,social,0
s003,bot,podcasts,nonsocial,0
s003,bot,social_media,social,0
s003,bot,space,nonsocial,0
s003,bot,teamwork,social,0
s003,bot,technology,nonsocial,0
s003,bot,trust,social,1
s003,bot,weather,nonsocial,1
s003,hum,books,nonsocial,0
s003,hum,boundaries,social,0
s003,hum,cars,nonsocial,0
s003,hum,childhood_memories,social,1
s003,hum,conflict,social,0
s003,hum,cooking,nonsocial,0
s003,hum,cultural_celebrations,social,0
s003,hum,empathy,social,0
s003,hum,food,nonsocial,0
s003,hum,forgiveness,social,0
s003,hum,gardening,nonsocial,0
s003,hum,goals,social,0
s003,hum,loneliness,social,2
s003,hum,music,nonsocial,0
s003,hum,photography,nonsocial,0
s003,hum,role_models,social,0
s003,hum,seasons,nonsocial,0
s003,hum,sports,nonsocial,2
s003,hum,travel,nonsocial,0
