metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,930.4609999999999,7.468387019529008,940.9069999999998,6.594848795283562,-0.9898155711437163,0.3271270525977822,-0.13998106049595152,50,0.3761961104874495,False,
question_count,9.097000000000001,0.5482167938518707,5.967,0.1665349751829437,5.435402765198736,1.7114986656026637e-06,0.7686820307504277,50,4.9205586636076585e-06,True,***
demir_modal_rate,0.012565954881082992,0.0002441269480116181,0.012071220231752604,0.00017654185021926977,1.5468350692513924,0.12833793493674564,0.21875551336896448,50,0.17363367667912644,False,
demir_verb_rate,0.012833472203399617,0.00026791865199159013,0.013718907564416974,0.00024018882006325026,-2.130418960824636,0.038182186333673374,-0.3012867387934996,50,0.05854601904496584,False,
demir_adverb_rate,0.010621877240133219,0.00019471240383677195,0.009824356685976622,0.00014528989828464824,3.086404038017631,0.003329038167756603,0.4364834449527619,50,0.007656787785840187,True,**
demir_adjective_rate,0.0006335599351161023,5.4827703852335324e-05,0.0007121096479922515,4.2131551355419796e-05,-0.9907316067677431,0.3266839614426078,-0.14011060749626303,50,0.3761961104874495,False,
demir_quantifier_rate,0.005218019791082348,0.0001320568476188086,0.005330159275705793,0.0001294414322010029,-0.5973007182190625,0.5530569293251026,-0.08447107765205887,50,0.5781958806580619,False,
demir_noun_rate,0.0009997095851799352,6.206748984227949e-05,0.0012492506878606776,6.197600303276903e-05,-2.5182141506724562,0.015111429805194521,-0.35612926048408317,50,0.0289635737932895,True,*
demir_total_rate,0.042872593635994216,0.0004825444945456253,0.04290600409370492,0.0003873208525536635,-0.05083632277333942,0.9596626174034437,-0.007189341712723284,50,0.9596626174034436,False,
fung_interpersonal_rate,0.04067529585957491,0.0005625487950387767,0.03417765492124359,0.00046388872134463845,8.457574149430164,3.847648969037479e-11,1.1960816066900228,50,2.9498642095954007e-10,True,***
fung_referential_rate,0.07988724654133052,0.00038431818992521073,0.08131702827370825,0.00036888941924592,-2.5948534159802974,0.012449301823450826,-0.36696768932494916,50,0.026030358358124454,True,*
fung_structural_rate,0.07564199921879937,0.00044073312126110165,0.0770583736783515,0.0003979537395253649,-2.2791444299177184,0.027051836427047497,-0.32231969633967333,50,0.04444230270157803,True,*
fung_cognitive_rate,0.01640033838588907,0.000365345049264175,0.011770684902925382,0.00028700829141820657,9.528503181777415,9.757021786246305e-13,1.347533842878481,50,2.2441150108366503e-11,True,***
fung_total_rate,0.11773872389568146,0.0006898161825760673,0.11111932646423758,0.0006450804711982838,7.260197498920873,2.624876909630456e-09,1.0267469768481123,50,1.5093042230375123e-08,True,***
nonfluency_rate,0.0015475151652495902,7.931142216206153e-05,0.0014008427918997602,6.450097614181042e-05,1.3154949568959873,0.1944659473470897,0.18603908092757154,50,0.2484842660546146,False,
liwc_filler_rate,0.0028640122910130873,0.00011890010175894744,0.0016108325664898867,0.00011069933033319995,6.975956621395552,7.22768017645001e-09,0.9865492464503983,50,2.7706107343058373e-08,True,***
disfluency_rate,0.004411527456262678,0.0001335187491086049,0.003011675358389647,0.00011773633943550496,7.147202515922848,3.925261772696847e-09,1.0107670731045197,50,1.8056204154405496e-08,True,***
like_rate,0.010434967018190012,0.00030717834056724353,0.00690777868041022,0.00021542162458446497,8.837422514460116,1.0313701768102717e-11,1.2498002776370836,50,1.1860757033318124e-10,True,***
tom_rate,0.002524546120538293,0.00012074100315470875,0.001552366521814621,9.009515989956792e-05,5.707688311566184,6.580297471851873e-07,0.8071890220015288,50,2.16209774075133e-06,True,***
politeness_rate,0.0046620279504683984,0.00012965878791871717,0.005322843217240837,0.00012352796712696668,-3.470642638791926,0.001093160864457895,-0.49082298899298876,50,0.002793633320281287,True,**
sentiment,0.96307588,0.002358423572529163,0.9691965200000001,0.002073724574875077,-2.024922147639013,0.04834202880125288,-0.2863672363940747,50,0.06949166640180102,False,
quality,2.9620000000000006,0.008985248682009369,2.9920000000000004,0.007472398188926869,-2.3777817717036496,0.021362877209354526,-0.3362691229906828,50,0.03779585967808878,True,*
connectedness,3.0609999999999995,0.007991066440541142,3.072,0.008824825835131719,-0.893358031146061,0.3760322750696602,-0.12633990437016854,50,0.4118448726953421,False,
