run,agent,topic,social,order
1,bot_1,conflict,1,1
1,hum_1,photography,0,2
1,bot_2,space,0,3
1,hum_2,friendship,1,4
1,bot_1,cars,0,5
1,hum_2,nature,0,6
1,hum_1,hobbies,1,7
1,bot_2,childhood_memories,1,8
2,bot_1,mentorship,1,1
2,hum_1,role_models,1,2
2,bot_2,empathy,1,3
2,hum_2,books,0,4
2,bot_2,exercise,0,5
2,hum_2,networks,1,6
2,bot_1,sports,0,7
2,hum_1,art,0,8
3,hum_1,movies,0,1
3,bot_2,music,0,2
3,bot_1,architecture,0,3
3,hum_2,cultural_celebrations,1,4
3,hum_2,cooking,0,5
3,bot_1,loneliness,1,6
3,bot_2,love,1,7
3,hum_1,trust,1,8
4,hum_1,teamwork,1,1
4,bot_2,seasons,0,2
4,bot_1,podcasts,0,3
4,hum_2,technology,0,4
4,bot_1,forgiveness,1,5
4,hum_1,travel,0,6
4,hum_2,work_life,1,7
4,bot_2,communication,1,8
5,hum_2,social_media,1,1
5,bot_2,family,1,2
5,bot_1,goals,1,3
5,hum_1,gardening,0,4
5,hum_2,weather,0,5
5,bot_2,food,0,6
5,bot_1,fashion,0,7
5,hum_1,boundaries,1,8
