topic,social
nature,0
friendship,1
conflict,1
space,0
hobbies,1
cars,0
photography,0
childhood_memories,1
role_models,1
mentorship,1
art,0
exercise,0
sports,0
books,0
networks,1
empathy,1
architecture,0
trust,1
music,0
loneliness,1
cultural_celebrations,1
cooking,0
love,1
movies,0
work_life,1
forgiveness,1
technology,0
travel,0
podcasts,0
seasons,0
communication,1
teamwork,1
goals,1
gardening,0
food,0
boundaries,1
fashion,0
social_media,1
family,1
weather,0
