run,agent,topic,social,order
1,hum_2,conflict,1,1
1,bot_2,hobbies,1,2
1,bot_1,nature,0,3
1,hum_1,cars,0,4
1,bot_1,childhood_memories,1,5
1,hum_2,photography,0,6
1,bot_2,space,0,7
1,hum_1,friendship,1,8
2,hum_2,books,0,1
2,hum_1,mentorship,1,2
2,bot_1,empathy,1,3
2,bot_2,role_models,1,4
2,hum_1,exercise,0,5
2,bot_2,art,0,6
2,hum_2,networks,1,7
2,bot_1,sports,0,8
3,bot_2,trust,1,1
3,bot_1,movies,0,2
3,hum_1,architecture,0,3
3,hum_2,music,0,4
3,hum_2,love,1,5
3,bot_1,cultural_celebrations,1,6
3,bot_2,cooking,0,7
3,hum_1,loneliness,1,8
4,bot_1,technology,0,1
4,bot_2,work_life,1,2
4,hum_1,teamwork,1,3
4,hum_2,travel,0,4
4,bot_1,forgiveness,1,5
4,hum_1,podcasts,0,6
4,hum_2,communication,1,7
4,bot_2,seasons,0,8
5,bot_2,food,0,1
5,bot_1,family,1,2
5,hum_1,boundaries,1,3
5,hum_2,weather,0,4
5,bot_1,gardening,0,5
5,hum_2,social_media,1,6
5,bot_2,goals,1,7
5,hum_1,fashion,0,8
