run,agent,topic,social,order
1,hum_1,conflict,1,1
1,hum_2,photography,0,2
1,bot_2,nature,0,3
1,bot_1,hobbies,1,4
1,hum_1,cars,0,5
1,bot_1,space,0,6
1,bot_2,friendship,1,7
1,hum_2,childhood_memories,1,8
2,hum_1,exercise,0,1
2,hum_2,mentorship,1,2
2,bot_1,empathy,1,3
2,bot_2,sports,0,4
2,bot_2,role_models,1,5
2,bot_1,art,0,6
2,hum_1,networks,1,7
2,hum_2,books,0,8
3,bot_2,architecture,0,1
3,hum_2,trust,1,2
3,bot_1,cooking,0,3
3,hum_1,music,0,4
3,bot_2,cultural_celebrations,1,5
3,bot_1,love,1,6
3,hum_2,movies,0,7
3,hum_1,loneliness,1,8
4,hum_2,work_life,1,1
4,bot_2,technology,0,2
4,hum_1,teamwork,1,3
4,bot_1,podcasts,0,4
4,hum_1,travel,0,5
4,bot_1,communication,1,6
4,hum_2,seasons,0,7
4,bot_2,forgiveness,1,8
5,hum_1,family,1,1
5,bot_1,food,0,2
5,hum_2,gardening,0,3
5,bot_2,social_media,1,4
5,bot_1,goals,1,5
5,hum_2,boundaries,1,6
5,bot_2,weather,0,7
5,hum_1,fashion,0,8
